ASPM : City Pair Analysis : All Flights Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
From 4/1/2024 To 6/28/2024 Days Omitted ; Departure=DFW : Use Flight Plan,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Departure,Arrival,Date,Departure Hour,Flight Count,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,EDCT,EDCT>0,Gate Departure Delay,Taxi Out Delay,Average Taxi Out Time,Airport Departure Delay,Airborne Delay,Taxi In Delay,Block Delay,Gate Arrival Delay
DFW,ABI,5/23/24,8,1,100,0,100,0,0,8,20.6,32,29,0,2.6,0,8
DFW,ABI,5/23/24,13,1,0,0,0,0,0,25,0,10,24,0,0,0,22
DFW,ABI,5/23/24,16,1,0,0,0,0,0,27,16.6,28,44,0,1.6,12,39
DFW,ABI,5/23/24,18,1,0,0,0,0,0,23,20.6,32,44,0,3.6,22,44
DFW,ABI,5/23/24,20,1,100,100,100,0,0,10,0,10,9,0,1.6,0,6
DFW,ABI,5/24/24,6,2,100,50,50,0,0,0,11.6,23,12,1,1.6,7.5,13
DFW,ABI,5/24/24,8,1,100,0,100,0,0,0,27.6,39,23,0,0,7,2
DFW,ABI,5/24/24,13,1,100,100,100,0,0,0,0,11,0,0,0.6,0,0
DFW,ABI,5/24/24,16,1,100,100,100,0,0,0,5.6,17,6,0,0,0,0
DFW,ABI,5/24/24,18,1,0,0,0,0,0,26,9.6,21,36,0,0.6,6,32
DFW,ABI,5/24/24,20,1,0,0,0,0,0,61,11.6,23,73,0,0.6,5,66
DFW,ABI,5/27/24,8,1,100,100,100,0,0,0,14.6,26,9,0,2.6,0,0
DFW,ABI,5/27/24,13,1,0,100,100,0,0,15,0,10,14,0,0,0,6
DFW,ABI,5/27/24,16,1,100,0,0,0,0,0,32.6,44,30,0,0,19,16
DFW,ABI,5/27/24,18,1,0,0,0,0,0,66,32.6,44,99,0,9.6,36,102
DFW,ABI,5/27/24,20,1,0,0,0,0,0,100,0.6,12,101,0,0.6,0,92
DFW,ABI,5/28/24,13,1,0,0,0,0,0,136,9.6,21,146,0,0,3,139
DFW,ABI,5/28/24,16,1,100,0,100,0,0,0,25.6,37,23,0,2.6,16,13
DFW,ABI,5/28/24,18,1,100,0,100,0,0,11,10.6,22,22,0,0,3,14
DFW,ABI,5/29/24,6,1,0,0,0,0,0,56,5.6,17,62,0,0,4,60
DFW,ABI,5/29/24,8,1,100,100,100,0,0,0,8.6,20,9,0,0,0,0
DFW,ABI,5/29/24,16,1,0,0,100,0,0,22,0,10,21,0,0,0,10
DFW,ABI,5/29/24,18,1,100,0,100,0,0,7,11.6,23,19,0,0,5,12
DFW,ABI,5/29/24,20,2,50,50,100,0,0,13.5,6.6,18,19,0,0.3,0,0
